VAR,RESPONSE,MEANING
SC01,1,Nein (nicht an der Studie teilnehmen)
SC01,2,Ja
SC01,-9,Not answered
GE02,1,Ja ich spreche Deutsch auf muttersprachlichem Niveau.
GE02,2,Nein ich spreche Deutsch nicht auf muttersprachlichem Niveau.
GE02,-9,Not answered
RN01,1,female
RN01,2,male
RN01,3,person
FA02x01,30677,30677
FA02x01,83517,83517
FA02x01,82479,82479
FA02x01,66333,66333
FA02x01,54264,54264
FA02x01,14316,14316
FA02x01,18849,18849
FA02x01,37709,37709
FA02x01,44141,44141
FA02x01,31351,31351
FA02x01,1585,1585
FA02x01,64000,64000
FA02x01,13774,13774
FA02x01,49877,49877
FA02x01,70971,70971
FA02x01,51269,51269
FA02x01,12233,12233
FA02x01,15760,15760
FA02x01,3124,3124
FA02x01,30013,30013
FA02x01,5959,5959
FA02x01,27526,27526
FA02x01,9746,9746
FA02x01,3802,3802
FA02x01,766,766
FA02x01,36581,36581
FA02x01,52683,52683
FA02x01,85669,85669
FA02x01,67254,67254
FA02x01,53544,53544
FA02x01,49368,49368
FA02x01,56950,56950
FA02x01,78859,78859
FA02x01,32570,32570
FA02x01,31470,31470
FA02x01,25172,25172
FA02x01,51115,51115
FA02x01,78317,78317
FA02x01,62084,62084
FA02x01,81622,81622
FA02x01,46689,46689
FA02x01,74406,74406
FA02x01,37529,37529
FA02x01,26436,26436
FA02x01,57217,57217
FA02x01,59595,59595
FA02x01,55433,55433
FA02x01,11540,11540
FA02x01,74784,74784
FA02x01,50122,50122
FA02x01,41787,41787
FA02x01,28930,28930
FA02x01,19341,19341
FA02x01,48761,48761
FA02x01,78929,78929
FA02x01,76957,76957
FA02x01,37124,37124
FA02x01,7638,7638
FA02x01,45160,45160
FA02x01,46974,46974
FA02x01,41820,41820
FA02x01,37697,37697
FA02x01,6104,6104
FA02x01,70717,70717
FA02x01,38968,38968
FA02x01,22469,22469
FA02x01,59756,59756
FA02x01,33882,33882
FA02x01,23360,23360
FA02x01,54427,54427
FA02x01,85279,85279
FA02x01,32192,32192
FA02x01,11839,11839
FA02x01,2269,2269
FA02x01,73147,73147
FA02x01,23810,23810
FA02x01,31645,31645
FA02x01,48720,48720
FA02x01,85906,85906
FA02x01,16550,16550
FA02x01,73547,73547
FA02x01,33755,33755
FA02x01,44347,44347
FA02x02,55865,55865
FA02x02,48386,48386
FA02x02,80900,80900
FA02x02,49901,49901
FA02x02,77513,77513
FA02x02,35706,35706
FA02x02,14690,14690
FA02x02,36927,36927
FA02x02,13364,13364
FA02x02,50042,50042
FA02x02,80075,80075
FA02x02,26652,26652
FA02x02,64483,64483
FA02x02,8552,8552
FA02x02,46013,46013
FA02x02,13079,13079
FA02x02,34158,34158
FA02x02,59168,59168
FA02x02,57801,57801
FA02x02,55345,55345
FA02x02,85082,85082
FA02x02,38242,38242
FA02x02,74568,74568
FA02x02,65982,65982
FA02x02,47023,47023
FA02x02,70228,70228
FA02x02,24281,24281
FA02x02,69837,69837
FA02x02,1329,1329
FA02x02,9875,9875
FA02x02,38931,38931
FA02x02,68959,68959
FA02x02,11697,11697
FA02x02,43133,43133
FA02x02,41172,41172
FA02x02,31005,31005
FA02x02,51234,51234
FA02x02,52537,52537
FA02x02,38300,38300
FA02x02,846,846
FA02x02,24081,24081
FA02x02,63538,63538
FA02x02,10162,10162
FA02x02,82189,82189
FA02x02,82192,82192
FA02x02,21730,21730
FA02x02,28889,28889
FA02x02,80206,80206
FA02x02,79400,79400
FA02x02,83057,83057
FA02x02,40846,40846
FA02x02,61893,61893
FA02x02,45667,45667
FA02x02,54362,54362
FA02x02,58537,58537
FA02x02,83079,83079
FA02x02,57266,57266
FA02x02,37017,37017
FA02x02,1314,1314
FA02x02,40183,40183
FA02x02,85630,85630
FA02x02,83238,83238
FA02x02,22481,22481
FA02x02,51167,51167
FA02x02,67750,67750
FA02x02,23249,23249
FA02x02,63170,63170
FA02x02,68662,68662
FA02x02,48044,48044
FA02x02,16590,16590
FA02x02,44437,44437
FA02x02,74827,74827
FA02x02,50744,50744
FA02x02,79303,79303
FA02x02,41104,41104
FA02x02,22779,22779
FA02x02,65057,65057
FA02x02,28630,28630
FA02x02,39531,39531
FA02x02,41972,41972
FA02x02,36649,36649
FA02x02,10564,10564
FA02x02,76467,76467
FA02x02,9492,9492
FA02x02,18515,18515
FA02x02,17431,17431
FA02x02,40427,40427
FA02x02,20226,20226
FA02x02,48794,48794
FA02x02,3684,3684
FA02x02,19412,19412
FA02x02,41541,41541
FA02x02,84646,84646
FA02x02,61906,61906
FA02x02,2439,2439
FA02x02,54158,54158
FA02x02,60282,60282
FA02x02,75746,75746
FA02x02,24701,24701
FA02x02,45403,45403
FA02x02,6943,6943
FA02x02,15995,15995
FA02x02,66472,66472
FA02x02,35318,35318
FA02x02,17976,17976
FA02x02,60794,60794
FA02x02,82538,82538
FA02x02,85686,85686
FA02x02,66151,66151
FA02x02,84419,84419
FA02x02,53229,53229
FA02x02,56312,56312
FA02x02,37176,37176
FA02x02,74857,74857
FA02x02,2287,2287
FA02x02,82234,82234
FA02x02,33788,33788
FA02x02,84596,84596
FA02x02,29200,29200
FA02x02,61215,61215
FA02x02,75202,75202
FA02x02,8508,8508
FA02x02,57057,57057
FA02x02,35309,35309
FA02x02,65114,65114
FA02x02,17997,17997
FA02x02,66900,66900
FA02x02,59944,59944
FA02x02,43243,43243
FA02x02,77994,77994
FA02x02,40289,40289
FA02x02,28013,28013
FA02x02,27633,27633
FA02x02,30721,30721
FA02x02,45707,45707
FA02x02,12189,12189
FA02x02,76725,76725
FA02x02,39553,39553
FA02x02,80252,80252
FA02x02,16535,16535
FA02x02,53313,53313
FA02x02,56437,56437
FA02x02,81557,81557
FA02x02,3403,3403
FA02x02,65204,65204
FA02x02,32949,32949
FA02x02,37611,37611
FA02x02,54946,54946
FA02x02,6715,6715
FA02x02,53058,53058
FA02x02,16660,16660
FA02x02,85606,85606
FA02x02,38047,38047
FA02x02,24347,24347
FA02x02,47780,47780
FA02x02,67606,67606
FA02x02,11810,11810
FA02x02,4883,4883
FA02x02,4721,4721
FA02x02,83398,83398
FA02x02,15124,15124
FA02x02,26759,26759
FA02x02,33283,33283
FA02x02,83063,83063
FA02x02,71366,71366
FA02x02,48379,48379
FA02x02,6766,6766
FA02x02,77247,77247
FA02x02,41411,41411
FA02x02,26323,26323
FA02x02,30609,30609
FA02x02,48534,48534
FA02x02,38290,38290
FA02x02,42799,42799
FA02x02,81932,81932
FA02x02,32537,32537
FA02x02,73779,73779
FA02x02,42025,42025
FA02x02,48227,48227
FA02x02,52338,52338
FA02x02,16287,16287
FA02x02,2833,2833
FA02x02,1372,1372
FA02x02,20048,20048
FA02x02,75710,75710
FA02x02,48130,48130
FA02x02,73721,73721
FA02x02,6711,6711
FA02x02,45377,45377
FA02x02,10685,10685
FA02x02,27513,27513
FA02x02,46781,46781
FA02x02,32877,32877
FA02x02,28248,28248
FA02x02,40481,40481
FA02x02,73794,73794
FA02x02,36361,36361
FA02x02,6651,6651
FA02x02,47113,47113
FA02x02,65037,65037
FA02x02,28836,28836
FA02x02,31934,31934
FA02x02,43229,43229
FA02x02,11717,11717
FA02x02,68223,68223
FA02x02,40246,40246
FA02x02,78876,78876
FA02x02,21822,21822
FA02x02,26925,26925
FA02x02,69791,69791
FA02x02,4685,4685
FA02x02,57566,57566
FA02x02,23324,23324
FA02x02,32066,32066
FA02x02,30595,30595
FA02x02,31088,31088
FA02x02,75474,75474
FA02x02,49603,49603
